,umap_1,umap_2,paul15_clusters,state
W38996,5.5951805,5.4656143,5Ery,
W38997,1.2925496,5.7916627,6Ery,
W38998,-2.4847214,6.5993114,9GMP,
W38999,-0.47379935,6.922631,8Mk,
W39000,-8.266608,10.19068,15Mo,15Mo
W39001,-7.525383,7.233816,13Baso,
W39002,-3.2006857,5.9995017,10GMP,
W39003,-6.216613,11.4516325,15Mo,
W39004,-7.3395505,10.990214,15Mo,
W39005,8.132824,6.4289293,2Ery,
W39006,-6.177555,7.223552,13Baso,
W39007,-5.300755,8.281396,14Mo,
W39008,0.31762385,6.46872,9GMP,
W39009,7.975461,6.072769,2Ery,
W39010,7.389693,4.308917,3Ery,
W39011,-2.2352753,7.0682344,17Neu,
W39012,-6.029272,11.295561,16Neu,
W39013,-6.5657363,6.7468085,13Baso,
W39015,3.463462,5.663647,6Ery,
W39017,-7.531481,6.677442,13Baso,
W39018,-3.3618672,6.0150886,10GMP,
W39019,-6.096865,7.9745307,13Baso,
W39020,-5.2225385,7.7616773,13Baso,
W39021,5.56548,5.496254,2Ery,
W39022,0.06493737,4.193606,6Ery,
W39023,-8.730375,9.794588,15Mo,
W39024,-7.015814,9.409607,14Mo,
W39025,-7.6500154,7.3549056,14Mo,
W39026,-5.6375446,6.5531445,13Baso,
W39027,-5.1201615,8.100804,14Mo,
W39028,3.424513,4.8147874,6Ery,
W39029,-6.1776676,7.675938,13Baso,
W39030,-1.4462024,5.096874,17Neu,
W39031,6.5609117,5.3780484,2Ery,
W39032,0.5950291,5.0186973,6Ery,
W39033,-0.13998336,4.921328,7MEP,7MEP
W39034,-5.314852,6.2380023,10GMP,
W39035,-4.563782,6.3746753,10GMP,
W39036,3.214563,5.3720345,6Ery,
W39037,-6.4715714,10.314479,15Mo,
W39038,-5.891288,11.182425,15Mo,
W39039,0.37137324,4.4811826,6Ery,
W39040,6.378169,3.880797,4Ery,
W39041,-0.66888106,6.3618402,8Mk,
W39042,0.6531927,4.313983,6Ery,
W39043,-5.418813,8.484921,13Baso,
W39044,-4.8442683,6.816372,13Baso,
W39045,5.7374034,5.1907783,5Ery,
W39047,-3.140336,6.7167864,10GMP,
W39048,-0.34063962,6.899281,10GMP,
W39050,-5.1434054,6.2018313,10GMP,
W39051,6.3388433,5.4773107,2Ery,
W39052,-4.618153,2.461622,11DC,11DC
W39053,-6.56943,10.66296,16Neu,
W39054,-7.4861755,9.755414,14Mo,
W39055,4.4394994,5.1720734,5Ery,
W39056,-4.762665,5.8041425,10GMP,
W39057,3.7766266,4.4570165,6Ery,
W39058,7.676221,5.399698,2Ery,
W39059,-6.1528563,5.977588,10GMP,
W39060,-7.145168,11.006191,15Mo,
W39061,-6.235249,11.524231,16Neu,
W39062,2.0187714,4.878422,6Ery,
W39063,-2.7420115,3.6916416,19Lymph,19Lymph
W39064,-4.5194516,5.7379003,10GMP,
W39065,-8.531234,10.606937,15Mo,15Mo
W39066,-8.038437,7.1098948,13Baso,
W39067,3.887996,4.722336,5Ery,
W39068,-0.48414764,5.466729,7MEP,
W39069,6.1800566,4.046728,4Ery,
W39070,-0.9306277,5.016328,7MEP,
W39071,5.933621,3.2562447,3Ery,
W39072,-3.1044862,3.955415,19Lymph,19Lymph
W39073,-7.2068663,9.877679,13Baso,
W39074,-5.271618,8.145875,13Baso,
W39075,-6.8926606,6.767444,13Baso,
W39076,7.786749,4.6058307,3Ery,
W39077,8.767065,6.270249,1Ery,
W39078,-7.1121826,9.393899,15Mo,
W39079,-0.37655598,4.710095,8Mk,
W39081,-0.539669,5.1101055,7MEP,
W39082,-0.46826306,5.3297067,7MEP,
W39083,-2.7910862,6.7387395,13Baso,
W39084,-5.445962,6.929274,13Baso,
W39085,5.112727,5.387633,5Ery,
W39087,0.34949687,4.2189155,6Ery,
W39088,-8.104756,10.65132,15Mo,15Mo
W39089,-6.467838,7.1474605,13Baso,
W39090,-6.6907716,9.236062,14Mo,
W39091,-1.3355186,5.734169,10GMP,
W39092,-4.2950497,7.3691726,13Baso,
W39093,-0.10699386,4.4057527,7MEP,
W39094,-5.5710673,11.083705,15Mo,
W39095,-0.5129576,7.4888835,8Mk,
W39096,-4.7690296,5.8227816,9GMP,
W39097,4.497389,5.31854,4Ery,
W39098,-1.7885833,5.5800285,17Neu,
W39099,7.761197,6.110367,2Ery,
W39100,-6.1368732,7.213644,14Mo,
W39101,-7.3761888,11.307129,15Mo,
W39103,-6.910909,8.6697,14Mo,
W39104,5.0964284,3.7160385,6Ery,
W39105,0.36115083,4.1313787,6Ery,
W39106,-4.072043,6.505716,10GMP,
W39107,0.4687493,4.5357285,6Ery,
W39109,-5.0605435,7.4126205,13Baso,
W39110,0.1869366,4.206794,6Ery,
W39111,-2.3762908,7.526433,12Baso,
W39112,8.014356,2.7687776,3Ery,3Ery
W39113,-5.4852185,7.771075,13Baso,
W39114,-5.7349625,7.525774,13Baso,
W39115,-6.5997515,11.272566,16Neu,
W39116,-5.3399205,6.5720243,10GMP,
W39117,-5.8100557,11.014118,16Neu,
W39118,-4.445838,8.19116,13Baso,
W39119,4.6652236,4.965199,5Ery,
W39120,8.343262,5.4677734,2Ery,
W39121,-1.3890048,4.695487,9GMP,
W39122,-6.825092,10.90619,16Neu,
W39123,-0.90755755,6.4319863,8Mk,
W39124,-4.3794746,2.619842,11DC,11DC
W39125,-4.6229506,7.0845776,13Baso,
W39126,-3.5435958,6.878648,10GMP,
W39127,5.6547723,3.7242727,5Ery,
W39128,-5.929437,10.413169,15Mo,
W39129,-7.5564456,7.7204623,13Baso,
W39130,-3.2137704,5.734091,9GMP,
W39131,-6.6254935,9.491011,14Mo,
W39134,-5.156183,8.260843,13Baso,
W39135,-5.8215218,8.011482,14Mo,
W39137,-5.826576,10.452394,15Mo,
W39138,-6.823004,10.317708,15Mo,
W39139,-4.223108,6.6766562,10GMP,
W39140,-6.9399886,11.024361,15Mo,
W39141,-6.689301,11.089838,16Neu,
W39142,3.3999252,5.483913,6Ery,
W39143,7.103565,4.838649,2Ery,
W39144,-7.7973094,7.8664193,13Baso,
W39145,2.3591902,5.269727,5Ery,
W39146,0.3093219,5.4758496,7MEP,
W39147,-2.6848388,3.8126502,19Lymph,19Lymph
W39148,1.5821474,4.9111857,6Ery,
W39149,-6.371533,7.264146,13Baso,
W39150,8.202955,6.0174155,2Ery,
W39151,-4.797211,2.48884,11DC,11DC
W39152,0.411806,4.5905027,7MEP,
W39153,-3.3453133,7.2845774,13Baso,
W39154,7.187694,5.1546936,2Ery,
W39155,-6.787224,7.388941,14Mo,
W39156,-5.986661,7.678313,13Baso,
W39157,-0.52523947,7.733884,8Mk,
W39158,-7.7132635,8.722851,13Baso,
W39159,-0.046113856,7.2235255,7MEP,
W39160,-4.062339,6.3545423,10GMP,
W39161,-4.2859173,6.547193,10GMP,
W39162,-7.411805,9.362801,14Mo,
W39163,-6.8690777,11.526388,16Neu,
W39164,6.788565,4.8916063,2Ery,
W39165,-8.209247,6.9851108,13Baso,
W39166,0.19944483,4.9273653,7MEP,7MEP
W39167,-8.02136,9.81573,15Mo,
W39168,7.666936,3.6751907,3Ery,
